occurrenceID,type,basisOfRecord,occurrenceRemarks,individualCount,sex,lifeStage,behavior,occurrenceStatus,organismID,eventID,samplingProtocol,eventDate,eventRemarks,locationID,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,identifiedBy,dateIdentified,identificationRemarks,identificationVerificationStatus,taxonID,scientificName,kingdom
de7b62b6-eee2-4771-8c03-55a6a7934252,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-24T22:31:45Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:13:10Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
df382ecc-eda4-44fe-bbba-5f35fd3a4e01,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-07T23:11:48Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:27:33Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
e1b37756-efc2-4913-8d06-0f3085ff21b1,Event,MachineObservation,,2,,adult,,present,,6b1199ac-e6e4-4eb4-a625-6ee8f9db09f1,"camera trap (motion detection)",2020-06-07T23:19:15Z,"tags: boven de stroom",91d9abdd-da56-49a0-8c07-fa6305f39d6c,"B_ML_val 05_molenkreek",,51.283,3.567,WGS84,"Wouter Franceus",2020-07-09T08:25:46Z,"classification method: human",,DGP6,"Anas platyrhynchos",Animalia
e1d845ff-da39-486d-9d36-38a752bc6f98,Event,MachineObservation,,2,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-30T23:06:24Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:22:03Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
e1e3925f-77aa-431c-aad2-9539b05cc4ab,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-24T23:21:56Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:13:45Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
e235c73e-a36e-4b6e-9760-7b6d78badc9b,Event,MachineObservation,,2,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-24T23:05:31Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:13:26Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
e537bd35-63a1-4b6a-986f-7d1f6123d3e0,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-15T02:20:03Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:59:21Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
e57ab824-3ad7-463e-874b-f90501a701f4,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-11T01:26:20Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:44:35Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
e63ac36d-6913-4a13-b2e2-be2fef8a9588,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-29T03:07:57Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:18:12Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
e75ba274-b0e6-434c-825b-b68205496867,Event,MachineObservation,,1,,adult,,present,,6b1199ac-e6e4-4eb4-a625-6ee8f9db09f1,"camera trap (motion detection)",2020-06-03T23:19:10Z,"tags: boven de stroom",91d9abdd-da56-49a0-8c07-fa6305f39d6c,"B_ML_val 05_molenkreek",,51.283,3.567,WGS84,"Wouter Franceus",2020-07-09T08:20:09Z,"classification method: human",,DGP6,"Anas platyrhynchos",Animalia
