id,occurrenceID,samplingProtocol,organismName,basisOfRecord,decimalLatitude,decimalLongitude,eventDate,geodeticDatum,lifeStage,occurrenceRemarks,reproductiveCondition,sex,scientificName,scientificNameID,taxonRank,datasetID,license
F53:deployment1,F53:deployment1:1902295525,GPS fix,F53,MachineObservation,38.2875511,-112.0259192,2014-02-12T19:00:59.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:deployment1,F53:deployment1:1902295526,GPS fix,F53,MachineObservation,38.2882522,-112.0228786,2014-02-13T03:01:00.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:deployment1,F53:deployment1:1902295527,GPS fix,F53,MachineObservation,38.2903081,-112.0165386,2014-02-13T07:01:32.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:deployment1,F53:deployment1:1902295528,GPS fix,F53,MachineObservation,38.2820444,-111.9918983,2014-02-13T11:01:12.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578077,GPS fix,IdCoy_P3_1,MachineObservation,43.805269310754184,-112.7119061888433,2004-12-27T12:01:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578078,GPS fix,IdCoy_P3_1,MachineObservation,43.805253804358244,-112.71187868758769,2004-12-27T12:05:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578079,GPS fix,IdCoy_P3_1,MachineObservation,43.805254611303425,-112.71179898779434,2004-12-27T12:10:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578080,GPS fix,IdCoy_P3_1,MachineObservation,43.80522270918354,-112.7117702884922,2004-12-27T12:15:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578081,GPS fix,IdCoy_P3_1,MachineObservation,43.805277413057865,-112.7116772880469,2004-12-27T12:21:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578082,GPS fix,IdCoy_P3_1,MachineObservation,43.805128005490175,-112.71169478785248,2004-12-27T12:25:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578083,GPS fix,IdCoy_P3_1,MachineObservation,43.80518740520675,-112.71180398777118,2004-12-27T12:30:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578084,GPS fix,IdCoy_P3_1,MachineObservation,43.80520991319645,-112.71169648832122,2004-12-27T12:35:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578085,GPS fix,IdCoy_P3_1,MachineObservation,43.80526351166072,-112.71174758819863,2004-12-27T12:40:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:1903578086,GPS fix,IdCoy_P3_1,MachineObservation,43.80522300704765,-112.71173898820605,2004-12-27T12:45:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447281,GPS fix,IdCoy_P3_1,MachineObservation,43.802316306974156,-112.68706977879135,2005-05-06T12:01:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447282,GPS fix,IdCoy_P3_1,MachineObservation,43.80214740376405,-112.68693647895746,2005-05-06T12:05:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447283,GPS fix,IdCoy_P3_1,MachineObservation,43.80225630345771,-112.68685167885121,2005-05-06T12:10:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447284,GPS fix,IdCoy_P3_1,MachineObservation,43.800630705798866,-112.68615727930909,2005-05-06T12:15:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447285,GPS fix,IdCoy_P3_1,MachineObservation,43.79920380945402,-112.6858830785679,2005-05-06T12:20:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447286,GPS fix,IdCoy_P3_1,MachineObservation,43.796385200885524,-112.68515087908295,2005-05-06T12:25:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447287,GPS fix,IdCoy_P3_1,MachineObservation,43.79458020505868,-112.6823283774607,2005-05-06T12:30:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447288,GPS fix,IdCoy_P3_1,MachineObservation,43.793676007286784,-112.6810311777281,2005-05-06T12:35:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447289,GPS fix,IdCoy_P3_1,MachineObservation,43.79213910405195,-112.679266176522,2005-05-06T12:40:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:1903447290,GPS fix,IdCoy_P3_1,MachineObservation,43.79133100383393,-112.67840417618817,2005-05-06T12:45:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
