id,measurementID,occurrenceID,measurementDeterminedDate,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
F53:deployment1,F53:deployment1:measurement10,F53:deployment1:1902295528,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,2.0,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
F53:deployment1,F53:deployment1:measurement1362,F53:deployment1:1902295519,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement1363,F53:deployment1:1902295520,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement1364,F53:deployment1:1902295521,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement1365,F53:deployment1:1902295522,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement1366,F53:deployment1:1902295523,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement1367,F53:deployment1:1902295524,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement1368,F53:deployment1:1902295525,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement1369,F53:deployment1:1902295526,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement1370,F53:deployment1:1902295527,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement1371,F53:deployment1:1902295528,,gps:fix-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116/,3,,
F53:deployment1,F53:deployment1:measurement2723,F53:deployment1:1902295519,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,6,,
F53:deployment1,F53:deployment1:measurement2724,F53:deployment1:1902295520,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,4,,
F53:deployment1,F53:deployment1:measurement2725,F53:deployment1:1902295521,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,9,,
F53:deployment1,F53:deployment1:measurement2726,F53:deployment1:1902295522,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,6,,
F53:deployment1,F53:deployment1:measurement2727,F53:deployment1:1902295523,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,7,,
F53:deployment1,F53:deployment1:measurement2728,F53:deployment1:1902295524,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,6,,
F53:deployment1,F53:deployment1:measurement2729,F53:deployment1:1902295525,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,6,,
F53:deployment1,F53:deployment1:measurement2730,F53:deployment1:1902295526,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,9,,
F53:deployment1,F53:deployment1:measurement2731,F53:deployment1:1902295527,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,8,,
F53:deployment1,F53:deployment1:measurement2732,F53:deployment1:1902295528,,gps:satellite-count,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120/,7,,
F53:deployment1,F53:deployment1:measurement4084,F53:deployment1:1902295519,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,3.1,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement4085,F53:deployment1:1902295520,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,11.9,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement4086,F53:deployment1:1902295521,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,2.4,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement4087,F53:deployment1:1902295522,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,3.3,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement4088,F53:deployment1:1902295523,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,2.5,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement4089,F53:deployment1:1902295524,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,2.5,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement4090,F53:deployment1:1902295525,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,3.2,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement4091,F53:deployment1:1902295526,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,2.7,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement4092,F53:deployment1:1902295527,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,2,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement4093,F53:deployment1:1902295528,,gps:dop,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/,3.6,unitless,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115/
F53:deployment1,F53:deployment1:measurement5445,,2014-02-11T21:40:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement5446,,2014-02-11T21:45:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement5447,,2014-02-11T21:50:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement5448,,2014-02-11T21:55:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement5449,,2014-02-11T22:00:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement5450,,2014-02-11T22:05:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement5451,,2014-02-11T22:10:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement5452,,2014-02-11T22:15:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement5453,,2014-02-11T22:20:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement5454,,2014-02-11T22:25:00.00+00:00,acceleration-x,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82314,,2014-02-11T21:40:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82315,,2014-02-11T21:45:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82316,,2014-02-11T21:50:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82317,,2014-02-11T21:55:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82318,,2014-02-11T22:00:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82319,,2014-02-11T22:05:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82320,,2014-02-11T22:10:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82321,,2014-02-11T22:15:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82322,,2014-02-11T22:20:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,0.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
F53:deployment1,F53:deployment1:measurement82323,,2014-02-11T22:25:00.00+00:00,acceleration-y,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007/,21.0,m/s^2,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
