"occurrenceID","datasetID","type","modified","basisOfRecord","eventID","year","month","day","eventTime","eventDate","decimalLatitude","decimalLongitude","fieldNotes","scientificName","scientificNameID","vernacularName","lifeStage","sex"
"DDU2005_emp_a_f_02:deployment:00024","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"11:02:03","2005-11-01T11:02:03",-66.518,140.391,"location_quality= 2","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00025","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"11:35:25","2005-11-01T11:35:25",-66.513,140.403,"location_quality= B","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00026","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"12:05:50","2005-11-01T12:05:50",-66.517,140.404,"location_quality= B","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00027","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"12:16:57","2005-11-01T12:16:57",-66.515,140.395,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00028","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"12:28:49","2005-11-01T12:28:49",-66.516,140.391,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00029","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"12:42:10","2005-11-01T12:42:10",-66.516,140.394,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00030","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"12:45:53","2005-11-01T12:45:53",-66.518,140.386,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00031","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"13:13:20","2005-11-01T13:13:20",-66.515,140.391,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00032","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"13:45:58","2005-11-01T13:45:58",-66.518,140.394,"location_quality= B","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00033","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"13:56:21","2005-11-01T13:56:21",-66.518,140.39,"location_quality= B","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00034","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"14:09:42","2005-11-01T14:09:42",-66.515,140.389,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00035","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"14:52:43","2005-11-01T14:52:43",-66.512,140.371,"location_quality= B","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00036","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"0:10:23","2005-11-02T0:10:23",-66.5,140.627,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00037","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"0:20:21","2005-11-02T0:20:21",-66.513,140.542,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00038","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"2:01:47","2005-11-02T2:01:47",-66.476,140.707,"location_quality= 3","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00039","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"2:58:20","2005-11-02T2:58:20",-66.46,140.726,"location_quality= 1","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00040","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"3:45:36","2005-11-02T3:45:36",-66.451,140.693,"location_quality= 1","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00041","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"4:43:12","2005-11-02T4:43:12",-66.452,140.754,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00042","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"5:10:16","2005-11-02T5:10:16",-66.452,140.738,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00043","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"6:23:21","2005-11-02T6:23:21",-66.445,140.856,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00044","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"6:53:01","2005-11-02T6:53:01",-66.463,140.775,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00045","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"8:04:13","2005-11-02T8:04:13",-66.467,140.816,"location_quality= 2","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00046","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"8:31:40","2005-11-02T8:31:40",-66.451,140.936,"location_quality= 1","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00047","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,2,"8:33:09","2005-11-02T8:33:09",-66.459,140.824,"location_quality= 2","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00048","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,3,"1:36:37","2005-11-03T1:36:37",-66.597,140.731,"location_quality= 1","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00049","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,3,"2:51:31","2005-11-03T2:51:31",-66.575,140.461,"location_quality= 2","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00050","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,3,"4:33:37","2005-11-03T4:33:37",-66.614,141.094,"location_quality= 2","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
